AAPL UW Equity,,,,,,
BarTp=T,,,,,,
Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
#NAME?,132.39,132.39,132,132.3,1263,1380563
27/04/2015 15:31,132.3,132.47,132.16,132.46,598,123411
27/04/2015 15:32,132.48,132.79,132.48,132.77,998,243040
27/04/2015 15:33,132.76,132.78,132.56,132.64,631,98263
27/04/2015 15:34,132.66,132.78,132.63,132.72,666,115850
27/04/2015 15:35,132.71,132.75,132.53,132.53,468,86129
27/04/2015 15:36,132.52,132.75,132.5,132.65,367,65074
27/04/2015 15:37,132.63,132.65,132.56,132.575,333,85217
27/04/2015 15:38,132.575,132.73,132.54,132.56,342,109892
27/04/2015 15:39,132.57,132.57,132.44,132.46,311,68140
27/04/2015 15:40,132.465,132.5,132.45,132.48,207,34664
27/04/2015 15:41,132.46,132.61,132.45,132.54,235,44889
27/04/2015 15:42,132.53,132.71,132.53,132.69,281,46076
27/04/2015 15:43,132.68,132.88,132.61,132.87,426,134302
27/04/2015 15:44,132.86,132.87,132.66,132.82,234,38378
27/04/2015 15:45,132.83,132.89,132.75,132.78,276,60146
27/04/2015 15:46,132.8,132.83,132.76,132.82,229,39687
27/04/2015 15:47,132.84,132.85,132.76,132.83,250,53519
27/04/2015 15:48,132.82,132.87,132.82,132.87,116,18730
27/04/2015 15:49,132.88,132.92,132.84,132.87,258,53006
27/04/2015 15:50,132.87,132.89,132.71,132.74,291,74866
27/04/2015 15:51,132.76,132.89,132.76,132.88,181,36753
27/04/2015 15:52,132.89,132.96,132.88,132.96,210,56955
27/04/2015 15:53,132.95,133,132.92,132.99,177,48958
27/04/2015 15:54,132.99,133,132.78,132.86,554,162847
27/04/2015 15:55,132.86,132.87,132.81,132.85,104,22640
27/04/2015 15:56,132.865,132.89,132.78,132.87,117,22344
27/04/2015 15:57,132.85,132.9,132.85,132.9,143,30687
27/04/2015 15:58,132.9,133,132.9,132.94,285,68256
27/04/2015 15:59,132.96,133,132.93,132.99,161,38511
27/04/2015 16:00,132.985,133.05,132.98,133.04,258,90272
27/04/2015 16:01,133.03,133.07,133.01,133.06,170,38089
27/04/2015 16:02,133.07,133.12,133.03,133.09,169,40026
27/04/2015 16:03,133.08,133.08,132.95,132.99,219,48160
27/04/2015 16:04,133,133.005,132.985,132.99,118,46137
27/04/2015 16:05,133,133.04,132.79,132.82,328,60153
27/04/2015 16:06,132.82,132.91,132.79,132.91,124,21244
27/04/2015 16:07,132.91,132.93,132.85,132.87,181,31702
27/04/2015 16:08,132.89,132.9,132.865,132.88,177,46833
27/04/2015 16:09,132.88,132.9,132.85,132.86,122,32778
27/04/2015 16:10,132.88,132.89,132.87,132.88,87,13405
27/04/2015 16:11,132.87,132.9,132.87,132.87,93,23180
27/04/2015 16:12,132.87,132.87,132.7,132.78,211,43229
27/04/2015 16:13,132.77,132.78,132.7,132.71,164,28010
27/04/2015 16:14,132.7,132.71,132.6,132.65,374,158640
27/04/2015 16:15,132.66,132.74,132.65,132.73,85,10636
27/04/2015 16:16,132.72,132.81,132.69,132.8,131,21823
27/04/2015 16:17,132.79,132.81,132.77,132.77,72,11875
27/04/2015 16:18,132.77,132.77,132.71,132.75,133,19554
27/04/2015 16:19,132.76,132.76,132.7,132.71,169,22907
27/04/2015 16:20,132.72,132.72,132.66,132.67,107,21947
27/04/2015 16:21,132.665,132.73,132.57,132.73,171,39365
27/04/2015 16:22,132.73,132.78,132.7,132.77,107,18159
27/04/2015 16:23,132.79,132.79,132.7,132.72,196,34481
27/04/2015 16:24,132.73,132.77,132.7,132.76,88,13264
27/04/2015 16:25,132.77,132.82,132.75,132.76,124,24510
27/04/2015 16:26,132.77,132.82,132.77,132.82,58,11997
27/04/2015 16:27,132.825,132.845,132.74,132.755,130,27543
27/04/2015 16:28,132.755,132.775,132.71,132.775,91,15863
27/04/2015 16:29,132.785,132.8,132.77,132.77,80,13014
27/04/2015 16:30,132.765,132.77,132.71,132.715,129,18285
27/04/2015 16:31,132.72,132.72,132.67,132.705,92,21583
27/04/2015 16:32,132.71,132.73,132.68,132.69,90,23161
27/04/2015 16:33,132.7,132.755,132.7,132.72,110,25050
27/04/2015 16:34,132.73,132.74,132.7,132.71,77,11487
27/04/2015 16:35,132.72,132.78,132.715,132.78,66,15729
27/04/2015 16:36,132.77,132.78,132.74,132.77,84,11423
27/04/2015 16:37,132.76,132.79,132.67,132.71,170,24971
27/04/2015 16:38,132.71,132.755,132.7,132.74,124,21718
27/04/2015 16:39,132.74,132.75,132.715,132.75,57,9129
27/04/2015 16:40,132.75,132.78,132.74,132.75,80,13539
27/04/2015 16:41,132.745,132.76,132.73,132.74,73,14309
27/04/2015 16:42,132.73,132.83,132.73,132.81,83,16177
27/04/2015 16:43,132.82,132.905,132.82,132.85,130,20229
27/04/2015 16:44,132.85,132.9,132.8,132.9,89,12040
27/04/2015 16:45,132.89,132.89,132.86,132.88,97,14364
27/04/2015 16:46,132.87,132.875,132.835,132.845,69,13462
27/04/2015 16:47,132.86,132.87,132.82,132.85,63,9909
27/04/2015 16:48,132.84,132.88,132.835,132.88,55,9000
27/04/2015 16:49,132.88,132.91,132.85,132.87,81,13176
27/04/2015 16:50,132.87,132.92,132.845,132.845,142,29196
27/04/2015 16:51,132.845,132.845,132.71,132.75,298,56595
27/04/2015 16:52,132.76,132.77,132.71,132.74,70,10166
27/04/2015 16:53,132.745,132.79,132.745,132.76,35,5578
27/04/2015 16:54,132.76,132.76,132.71,132.73,75,11455
27/04/2015 16:55,132.73,132.73,132.68,132.7,116,24492
27/04/2015 16:56,132.7,132.745,132.67,132.73,168,31089
27/04/2015 16:57,132.72,132.77,132.67,132.75,144,24780
27/04/2015 16:58,132.745,132.745,132.705,132.705,58,9798
27/04/2015 16:59,132.7,132.74,132.67,132.675,147,26322
27/04/2015 17:00,132.68,132.7,132.59,132.59,265,56421
27/04/2015 17:01,132.58,132.65,132.58,132.61,184,28448
27/04/2015 17:02,132.61,132.62,132.59,132.61,85,14239
27/04/2015 17:03,132.615,132.62,132.53,132.55,135,25453
27/04/2015 17:04,132.55,132.58,132.54,132.56,92,26205
27/04/2015 17:05,132.56,132.56,132.36,132.39,354,84578
27/04/2015 17:06,132.41,132.55,132.36,132.53,191,27510
27/04/2015 17:07,132.54,132.65,132.53,132.6,127,20963
27/04/2015 17:08,132.59,132.61,132.5,132.57,144,22525
27/04/2015 17:09,132.56,132.6,132.54,132.59,68,10520
27/04/2015 17:10,132.58,132.58,132.4,132.4,141,24133
27/04/2015 17:11,132.4,132.525,132.4,132.5,153,21418
27/04/2015 17:12,132.495,132.555,132.47,132.535,101,16222
27/04/2015 17:13,132.55,132.58,132.52,132.54,181,27786
27/04/2015 17:14,132.54,132.56,132.505,132.56,93,21286
27/04/2015 17:15,132.55,132.58,132.53,132.53,70,11166
27/04/2015 17:16,132.54,132.55,132.51,132.54,75,13379
27/04/2015 17:17,132.54,132.58,132.54,132.57,94,16132
27/04/2015 17:18,132.57,132.65,132.57,132.645,72,20876
27/04/2015 17:19,132.645,132.66,132.64,132.64,86,13243
27/04/2015 17:20,132.63,132.63,132.59,132.61,59,10693
27/04/2015 17:21,132.61,132.72,132.59,132.7,144,27464
27/04/2015 17:22,132.71,132.78,132.71,132.76,94,27841
27/04/2015 17:23,132.77,132.82,132.77,132.82,85,18119
27/04/2015 17:24,132.81,132.81,132.74,132.8,64,11296
27/04/2015 17:25,132.79,132.79,132.76,132.78,44,7056
27/04/2015 17:26,132.76,132.76,132.7,132.72,43,6071
27/04/2015 17:27,132.72,132.74,132.71,132.71,26,4000
27/04/2015 17:28,132.72,132.75,132.72,132.75,27,3565
27/04/2015 17:29,132.74,132.76,132.73,132.73,51,8622
27/04/2015 17:30,132.74,132.8,132.73,132.73,74,13220
