ABBV UN Equity,,,,,,
BarTp=T,,,,,,
Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
#NAME?,66,66,65.75,65.8,49,226086
27/04/2015 15:31,65.76,66,65.73,65.88,118,20311
27/04/2015 15:32,65.91,66.12,65.88,65.99,65,23764
27/04/2015 15:33,66.02,66.08,65.83,65.83,57,7684
27/04/2015 15:34,65.87,66.12,65.77,66.12,61,7800
27/04/2015 15:35,66.1,66.16,66.01,66.13,26,3502
27/04/2015 15:36,66.13,66.23,66.07,66.07,40,5797
27/04/2015 15:37,66.09,66.09,66.01,66.02,19,2450
27/04/2015 15:38,66.04,66.08,66,66.08,18,3000
27/04/2015 15:39,66.06,66.06,65.98,65.98,22,3027
27/04/2015 15:40,65.95,66.03,65.94,66.03,26,6138
27/04/2015 15:41,66.02,66.06,66.02,66.05,25,3374
27/04/2015 15:42,66.05,66.05,66,66,12,2472
27/04/2015 15:43,66,66.03,65.98,66,15,2117
27/04/2015 15:44,65.98,66.01,65.96,66.01,14,2400
27/04/2015 15:45,66.02,66.05,66.02,66.04,10,1674
27/04/2015 15:46,66.03,66.03,65.92,65.95,26,4418
27/04/2015 15:47,65.94,65.94,65.89,65.92,10,1500
27/04/2015 15:48,65.93,66.02,65.93,66,82,14355
27/04/2015 15:49,66,66.01,65.93,65.97,27,2800
27/04/2015 15:50,65.99,66,65.94,66,50,9507
27/04/2015 15:51,65.99,66,65.94,66,18,3600
27/04/2015 15:52,65.99,66.05,65.98,66.05,28,3497
27/04/2015 15:53,66.04,66.1,66.04,66.1,32,5271
27/04/2015 15:54,66.09,66.14,66.01,66.04,29,5074
27/04/2015 15:55,66.05,66.1,66.05,66.09,14,1538
27/04/2015 15:56,66.1,66.1,66.07,66.09,18,3535
27/04/2015 15:57,66.08,66.18,66.01,66.17,35,6324
27/04/2015 15:58,66.2,66.24,66.15,66.16,11,1746
27/04/2015 15:59,66.17,66.19,66.07,66.09,30,3400
27/04/2015 16:00,66.08,66.19,66.05,66.1,31,4514
27/04/2015 16:01,66.09,66.16,66.06,66.13,17,2530
27/04/2015 16:02,66.14,66.21,66.13,66.13,26,4450
27/04/2015 16:03,66.14,66.14,66.08,66.11,21,4275
27/04/2015 16:04,66.12,66.15,66.11,66.11,10,1900
27/04/2015 16:05,66.11,66.13,66.04,66.11,21,2700
27/04/2015 16:06,66.11,66.11,66.04,66.05,24,2831
