ABT UN Equity,,,,,,
BarTp=T,,,,,,
Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
#NAME?,48.33,48.37,48.33,48.37,7,106915
27/04/2015 15:31,48.37,48.4,48.28,48.31,20,6983
27/04/2015 15:32,48.36,48.37,48.31,48.31,9,1400
27/04/2015 15:33,48.33,48.33,48.23,48.23,11,2316
27/04/2015 15:34,48.23,48.25,48.19,48.23,17,4385
27/04/2015 15:35,48.23,48.24,48.21,48.21,13,3567
27/04/2015 15:36,48.2,48.22,48.13,48.16,26,5967
27/04/2015 15:37,48.16,48.16,48.13,48.13,6,1835
27/04/2015 15:38,48.18,48.2,48.18,48.19,7,1100
27/04/2015 15:39,48.19,48.2,48.18,48.18,7,1086
27/04/2015 15:40,48.18,48.18,48.17,48.17,4,700
27/04/2015 15:41,48.16,48.16,48.14,48.14,14,3276
27/04/2015 15:42,48.15,48.18,48.15,48.18,6,1341
27/04/2015 15:43,48.17,48.2,48.17,48.2,5,500
27/04/2015 15:44,48.19,48.19,48.16,48.16,10,2761
27/04/2015 15:45,48.16,48.17,48.14,48.14,17,3555
27/04/2015 15:46,48.15,48.16,48.13,48.15,22,3055
27/04/2015 15:47,48.16,48.16,48.13,48.13,17,2151
27/04/2015 15:48,48.14,48.14,48.1,48.12,11,2098
27/04/2015 15:49,48.1,48.16,48.1,48.1,15,3179
27/04/2015 15:50,48.115,48.13,48.11,48.11,9,1422
27/04/2015 15:51,48.105,48.14,48.105,48.14,7,1000
27/04/2015 15:52,48.135,48.16,48.13,48.155,16,2260
27/04/2015 15:53,48.165,48.185,48.16,48.18,7,745
27/04/2015 15:54,48.2,48.235,48.2,48.22,10,1000
27/04/2015 15:55,48.22,48.245,48.22,48.24,5,619
27/04/2015 15:56,48.23,48.25,48.22,48.25,9,1700
27/04/2015 15:57,48.26,48.29,48.26,48.29,3,400
27/04/2015 15:58,48.285,48.29,48.25,48.25,13,21259
27/04/2015 15:59,48.245,48.245,48.22,48.23,11,2071
27/04/2015 16:00,48.225,48.225,48.195,48.195,8,1366
27/04/2015 16:01,48.205,48.205,48.2,48.2,6,1080
27/04/2015 16:02,48.205,48.21,48.2,48.2,10,1709
27/04/2015 16:03,48.2,48.2,48.17,48.17,11,1865
27/04/2015 16:04,48.17,48.175,48.17,48.175,4,600
27/04/2015 16:05,48.175,48.19,48.17,48.19,10,2701
27/04/2015 16:06,48.215,48.215,48.19,48.19,8,2486
27/04/2015 16:07,48.19,48.2,48.19,48.19,7,1100
27/04/2015 16:08,48.185,48.185,48.17,48.175,9,1054
27/04/2015 16:09,48.175,48.18,48.16,48.18,8,1300
27/04/2015 16:10,48.185,48.185,48.16,48.175,16,3927
27/04/2015 16:11,48.17,48.17,48.16,48.16,6,700
27/04/2015 16:12,48.165,48.165,48.14,48.16,16,3137
27/04/2015 16:13,48.17,48.19,48.17,48.18,9,1200
27/04/2015 16:14,48.185,48.21,48.18,48.19,17,2690
27/04/2015 16:16,48.195,48.195,48.16,48.16,8,1039
27/04/2015 16:17,48.16,48.165,48.16,48.16,3,811
27/04/2015 16:18,48.18,48.19,48.18,48.19,6,2628
27/04/2015 16:19,48.19,48.195,48.19,48.195,5,769
27/04/2015 16:20,48.195,48.2,48.19,48.2,10,2313
27/04/2015 16:21,48.21,48.22,48.21,48.22,5,900
27/04/2015 16:22,48.23,48.23,48.23,48.23,1,100
27/04/2015 16:23,48.225,48.225,48.19,48.19,12,3218
27/04/2015 16:24,48.185,48.185,48.16,48.16,7,977
27/04/2015 16:25,48.17,48.195,48.17,48.18,10,2990
27/04/2015 16:26,48.19,48.195,48.19,48.19,4,600
27/04/2015 16:27,48.215,48.215,48.2,48.2,4,400
27/04/2015 16:28,48.2,48.21,48.19,48.19,4,581
27/04/2015 16:29,48.2,48.23,48.2,48.23,7,2900
27/04/2015 16:30,48.225,48.225,48.21,48.21,5,1018
27/04/2015 16:31,48.22,48.22,48.22,48.22,1,120
27/04/2015 16:32,48.225,48.225,48.21,48.22,8,1100
27/04/2015 16:33,48.22,48.22,48.21,48.21,5,744
27/04/2015 16:34,48.215,48.215,48.215,48.215,2,200
27/04/2015 16:35,48.205,48.21,48.205,48.21,2,1101
27/04/2015 16:36,48.215,48.215,48.16,48.17,17,18649
27/04/2015 16:37,48.175,48.175,48.12,48.12,11,2100
27/04/2015 16:38,48.13,48.15,48.13,48.15,4,1561
27/04/2015 16:39,48.15,48.15,48.15,48.15,3,500
27/04/2015 16:40,48.145,48.145,48.12,48.12,5,500
27/04/2015 16:41,48.12,48.12,48.115,48.115,2,1255
27/04/2015 16:42,48.12,48.13,48.12,48.13,5,1017
27/04/2015 16:43,48.13,48.145,48.13,48.13,10,2102
27/04/2015 16:44,48.125,48.13,48.12,48.13,8,2100
27/04/2015 16:45,48.135,48.135,48.11,48.12,9,2886
27/04/2015 16:46,48.115,48.115,48.09,48.09,5,1800
27/04/2015 16:47,48.09,48.09,48.09,48.09,2,500
27/04/2015 16:48,48.095,48.095,48.081,48.085,7,814
27/04/2015 16:49,48.08,48.08,48.05,48.05,9,2000
27/04/2015 16:50,48.05,48.05,48.02,48.02,9,1241
27/04/2015 16:51,48.01,48.01,47.99,47.99,15,4749
27/04/2015 16:52,47.99,48,47.99,47.99,6,1330
27/04/2015 16:53,47.99,48,47.99,47.995,5,500
27/04/2015 16:54,47.995,47.995,47.995,47.995,1,100
27/04/2015 16:55,47.995,48.01,47.99,48,9,3523
27/04/2015 16:56,47.99,48,47.97,47.975,23,4822
27/04/2015 16:57,47.965,47.97,47.96,47.97,7,808
27/04/2015 16:58,47.975,47.975,47.975,47.975,1,100
27/04/2015 16:59,47.975,47.975,47.93,47.93,15,1924
27/04/2015 17:00,47.92,47.93,47.92,47.92,5,1172
27/04/2015 17:01,47.915,47.93,47.91,47.93,6,2198
27/04/2015 17:02,47.935,47.935,47.93,47.93,3,700
27/04/2015 17:03,47.92,47.92,47.86,47.86,26,14580
27/04/2015 17:04,47.86,47.87,47.83,47.87,30,9007
27/04/2015 17:05,47.875,47.895,47.84,47.86,9,3860
27/04/2015 17:06,47.87,47.875,47.86,47.86,7,800
27/04/2015 17:07,47.88,47.91,47.88,47.91,12,3295
27/04/2015 17:08,47.91,47.915,47.91,47.91,4,1000
27/04/2015 17:10,47.905,47.905,47.88,47.88,9,2565
27/04/2015 17:11,47.88,47.89,47.88,47.89,7,1503
27/04/2015 17:12,47.89,47.9,47.89,47.9,7,2400
27/04/2015 17:13,47.9,47.9,47.9,47.9,2,300
27/04/2015 17:14,47.895,47.905,47.89,47.9,10,1500
27/04/2015 17:15,47.9,47.905,47.9,47.905,5,500
27/04/2015 17:16,47.905,47.905,47.905,47.905,1,100
27/04/2015 17:17,47.91,47.93,47.91,47.93,7,2000
27/04/2015 17:18,47.94,47.95,47.94,47.95,3,370
27/04/2015 17:19,47.95,47.95,47.95,47.95,1,200
27/04/2015 17:20,47.95,47.95,47.945,47.945,2,200
27/04/2015 17:21,47.95,47.965,47.95,47.95,9,1604
27/04/2015 17:22,47.96,47.965,47.96,47.96,8,1530
27/04/2015 17:23,47.965,47.965,47.965,47.965,2,500
27/04/2015 17:24,47.965,47.99,47.96,47.99,9,2458
27/04/2015 17:25,47.985,48.01,47.98,48.01,13,11059
27/04/2015 17:27,48.01,48.01,48.01,48.01,1,200
27/04/2015 17:28,48.01,48.01,48.01,48.01,2,400
27/04/2015 17:29,48.015,48.015,48.011,48.015,3,400
27/04/2015 17:30,48.02,48.03,48.02,48.03,3,815
27/04/2015 17:31,48.025,48.03,48.02,48.03,8,2363
27/04/2015 17:32,48.035,48.035,48.01,48.01,18,10918
27/04/2015 17:33,48.005,48.005,47.98,47.99,18,11379
27/04/2015 17:34,48,48.025,48,48.025,4,1535
27/04/2015 17:35,48.01,48.01,47.98,48,9,3400
27/04/2015 17:36,48.005,48.005,48,48,2,200
27/04/2015 17:37,48.005,48.005,47.99,47.99,9,1500
27/04/2015 17:38,47.97,47.975,47.97,47.975,3,350
27/04/2015 17:39,47.975,47.975,47.96,47.965,6,700
27/04/2015 17:40,47.96,47.96,47.94,47.94,13,14876
27/04/2015 17:41,47.945,47.945,47.93,47.93,39,11913
27/04/2015 17:42,47.935,47.94,47.93,47.935,5,2190
27/04/2015 17:43,47.94,47.94,47.94,47.94,8,825
27/04/2015 17:44,47.945,47.945,47.93,47.93,12,6020
27/04/2015 17:45,47.935,47.935,47.915,47.915,12,7600
27/04/2015 17:46,47.91,47.915,47.91,47.915,3,300
27/04/2015 17:47,47.915,47.915,47.89,47.89,10,1600
27/04/2015 17:48,47.89,47.89,47.87,47.87,18,19013
27/04/2015 17:49,47.86,47.88,47.86,47.88,6,3675
27/04/2015 17:50,47.89,47.89,47.89,47.89,2,200
27/04/2015 17:51,47.885,47.885,47.86,47.86,5,1196
